learning_rate,batch_size,train_freq,gradient_steps,ent_coef,learning_starts,buffer_size,policy_kwargs,reward
0.0001,64,1,5,auto,20000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",17.508728821873664
0.0001,64,1,5,auto,20000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",27.15273329734802
0.0001,64,1,5,auto,20000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",139.54350390076638
0.0001,64,1,5,auto,20000,500000,"{'net_arch': [128, 128], 'use_sde': False}",28.340375187397004
0.0001,64,1,5,auto,20000,500000,"{'net_arch': [256, 256], 'use_sde': False}",22.52168516278267
0.0001,64,1,5,auto,20000,500000,"{'net_arch': [400, 300], 'use_sde': False}",55.94727618098259
0.0001,64,1,5,0.1,5000,100000,"{'net_arch': [128, 128], 'use_sde': False}",293.78538591623305
0.0001,64,1,5,0.1,5000,100000,"{'net_arch': [256, 256], 'use_sde': False}",335.6912970578671
0.0001,64,1,5,0.1,5000,100000,"{'net_arch': [400, 300], 'use_sde': False}",292.38017488360407
0.0001,64,1,5,0.1,5000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",255.88183348178865
0.0001,64,1,5,0.1,5000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",177.57713059186935
0.0001,64,1,5,0.1,5000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",202.24207337141036
0.0001,64,1,5,0.1,5000,500000,"{'net_arch': [128, 128], 'use_sde': False}",90.47734817266465
0.0001,64,1,5,0.1,5000,500000,"{'net_arch': [256, 256], 'use_sde': False}",247.24944965362548
0.0001,64,1,5,0.1,5000,500000,"{'net_arch': [400, 300], 'use_sde': False}",264.4597112584114
0.0001,64,1,5,0.1,10000,100000,"{'net_arch': [128, 128], 'use_sde': False}",12.15721163213253
0.0001,64,1,5,0.1,10000,100000,"{'net_arch': [256, 256], 'use_sde': False}",65.01465553820134
0.0001,64,1,5,0.1,10000,100000,"{'net_arch': [400, 300], 'use_sde': False}",53.72786424279213
0.0001,64,1,5,0.1,10000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",103.7419402563572
0.0001,64,1,5,0.1,10000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",35.830721431970595
0.0001,64,1,5,0.1,10000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",44.28959978494444
0.0001,64,1,5,0.1,10000,500000,"{'net_arch': [128, 128], 'use_sde': False}",17.596510993242262
0.0001,64,1,5,0.1,10000,500000,"{'net_arch': [256, 256], 'use_sde': False}",117.86243970274926
0.0001,64,1,5,0.1,10000,500000,"{'net_arch': [400, 300], 'use_sde': False}",34.4872426635772
0.0001,64,1,5,0.1,20000,100000,"{'net_arch': [128, 128], 'use_sde': False}",48.81333133459091
0.0001,64,1,5,0.1,20000,100000,"{'net_arch': [256, 256], 'use_sde': False}",57.23749470949173
0.0001,64,1,5,0.1,20000,100000,"{'net_arch': [400, 300], 'use_sde': False}",23.102685785889626
0.0001,64,1,5,0.1,20000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",113.46118024170399
0.0001,64,1,5,0.1,20000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",20.476336106061936
0.0001,64,1,5,0.1,20000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",19.792962741851806
0.0001,64,1,5,0.1,20000,500000,"{'net_arch': [128, 128], 'use_sde': False}",122.54090364217758
0.0001,64,1,5,0.1,20000,500000,"{'net_arch': [256, 256], 'use_sde': False}",127.28036791086197
0.0001,64,1,5,0.1,20000,500000,"{'net_arch': [400, 300], 'use_sde': False}",22.04952185511589
0.0001,64,1,5,0.01,5000,100000,"{'net_arch': [128, 128], 'use_sde': False}",115.06716147841304
0.0001,64,1,5,0.01,5000,100000,"{'net_arch': [256, 256], 'use_sde': False}",265.89844108343124
0.0001,64,1,5,0.01,5000,100000,"{'net_arch': [400, 300], 'use_sde': False}",8.892247406397074
0.0001,64,1,5,0.01,5000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",504.44504618048666
0.0001,64,1,5,0.01,5000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",76.09879595458507
0.0001,64,1,5,0.01,5000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",14.04013579693652
0.0001,64,1,5,0.01,5000,500000,"{'net_arch': [128, 128], 'use_sde': False}",77.14718892335891
0.0001,64,1,5,0.01,5000,500000,"{'net_arch': [256, 256], 'use_sde': False}",178.27728964328765
0.0001,64,1,5,0.01,5000,500000,"{'net_arch': [400, 300], 'use_sde': False}",224.30175505399703
0.0001,64,1,5,0.01,10000,100000,"{'net_arch': [128, 128], 'use_sde': False}",30.488522877693175
0.0001,64,1,5,0.01,10000,100000,"{'net_arch': [256, 256], 'use_sde': False}",35.820947000980375
0.0001,64,1,5,0.01,10000,100000,"{'net_arch': [400, 300], 'use_sde': False}",39.08296868309379
0.0001,64,1,5,0.01,10000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",14.016607325077057
0.0001,64,1,5,0.01,10000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",36.03841412544251
0.0001,64,1,5,0.01,10000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",18.988827612400055
0.0001,64,1,5,0.01,10000,500000,"{'net_arch': [128, 128], 'use_sde': False}",13.013796995282172
0.0001,64,1,5,0.01,10000,500000,"{'net_arch': [256, 256], 'use_sde': False}",23.153321980237962
0.0001,64,1,5,0.01,10000,500000,"{'net_arch': [400, 300], 'use_sde': False}",106.43304408669472
0.0001,64,1,5,0.01,20000,100000,"{'net_arch': [128, 128], 'use_sde': False}",25.955734769105913
0.0001,64,1,5,0.01,20000,100000,"{'net_arch': [256, 256], 'use_sde': False}",38.375568541288374
0.0001,64,1,5,0.01,20000,100000,"{'net_arch': [400, 300], 'use_sde': False}",129.10239122390746
0.0001,64,1,5,0.01,20000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",177.89646207332612
0.0001,64,1,5,0.01,20000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",33.528474629975975
0.0001,64,1,5,0.01,20000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",127.16603062272071
0.0001,64,1,5,0.01,20000,500000,"{'net_arch': [128, 128], 'use_sde': False}",168.33400521755217
0.0001,64,1,5,0.01,20000,500000,"{'net_arch': [256, 256], 'use_sde': False}",128.08169463157654
0.0001,64,1,5,0.01,20000,500000,"{'net_arch': [400, 300], 'use_sde': False}",18.119354638904333
0.0001,64,1,10,auto,5000,100000,"{'net_arch': [128, 128], 'use_sde': False}",218.90538323044777
0.0001,64,1,10,auto,5000,100000,"{'net_arch': [256, 256], 'use_sde': False}",319.8573810684681
0.0001,64,1,10,auto,5000,100000,"{'net_arch': [400, 300], 'use_sde': False}",319.86307538867
0.0001,64,1,10,auto,5000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",254.23549199819564
0.0001,64,1,10,auto,5000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",257.3978523850441
0.0001,64,1,10,auto,5000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",16.583525544777512
0.0001,64,1,10,auto,5000,500000,"{'net_arch': [128, 128], 'use_sde': False}",282.143750692606
0.0001,64,1,10,auto,5000,500000,"{'net_arch': [256, 256], 'use_sde': False}",264.98157447695735
0.0001,64,1,10,auto,5000,500000,"{'net_arch': [400, 300], 'use_sde': False}",267.67374057888986
0.0001,64,1,10,auto,10000,100000,"{'net_arch': [128, 128], 'use_sde': False}",17.92885070681572
0.0001,64,1,10,auto,10000,100000,"{'net_arch': [256, 256], 'use_sde': False}",14.648834801912308
0.0001,64,1,10,auto,10000,100000,"{'net_arch': [400, 300], 'use_sde': False}",14.558431901931762
0.0001,64,1,10,auto,10000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",94.3802979373932
0.0001,64,1,10,auto,10000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",129.9246221703291
0.0001,64,1,10,auto,10000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",180.55437755703926
